monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1005 sq.ft.,Fully Furnished,"Parking, Playground, Multipurpose hall, Swimming Pool, Jogging Track, Lift, Barbeque area, Security, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Semenyih, Bandar Rinching Seksyen 6, Semenyih, Selangor",Ascotte boulevard condominium <br>Jalan rinching semenyih <br><br>3 room 2 bath <br>2 parking <br>Fully furnish <br><br>Contact mr colin lau 0179566399,Selangor,Semenyih,2025-02-24 11:48,2025-02-24,110250472,,
"RM 1,699 per month","Apartment / Condominium, For rent",Service Residence,3,2,1260 sq.ft.,Partially Furnished,"Playground, Security, Barbeque area, Parking, Swimming Pool, Club house, Gymnasium, Multipurpose hall",,"Persiaran Impian Indah, Taman Impian Indah, Balakong, Selangor","Partial Furnished Amerin Residence for Rent<br><br>- Full height curtain<br>- Sofa set<br>- TV and tv cabinet<br>- Aircond<br>- Water heater<br>- Kitchen cabinet with hood, hob and sink<br>- Refrigerator<br>- Laminated flooring at bedrooms<br>- 3 rooms 2 bathrooms<br>- 2 parking lots<br><br>Please contact Mr. DK for info / viewing arrangement<br>☎️ HP: 0176631034 ( sms / call / whatsapp )",Selangor,Balakong,2025-02-24 11:47,2025-02-24,110130050,,
"RM 2,700 per month","House, For rent",2-storey Terraced House,4,3,1900 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,"Best Rent Cyber South @ Casa Wood, 2-storey Terraced House, Cyberjaya<br>**********************************************************<br>FOR RENT NOW ! (Please contact Shamim Islam( 013-3332630 /018-9102206 for more information)<br><br>- Cyber South @ Casa Wood,<br>- Fully Furnished ,2-storey Terraced House For Rent<br>- ONLY FOR RM2800<br>- BRAND NEW UNIT<br><br>- 4 rooms + 3 baths<br>- Everything available! new unit!!<br>- Move in condition!!<br>- Suitable for family stay<br>- 1800 Sqft<br><br>** next to CYBERJAYA, DENGKIL, AND PUTRAJAYA, KOTA WARISAN AND BANDAR SERENIA<br>** Secured neighbourhood<br>** 24 hour security system<br><br>- FACILITIES:<br>- Jogging track<br>- Surau<br>- Playground<br><br><br> Advantages<br> 15 min drive to Putrajaya, IOI City Mall, Harriot Watt University, Taman Equine, Putrajaya Sentral etc<br> 30 min drive to KL<br> 20 min drive to KLIA, KLIA 2, Mitsui Outlet Park, Sepang Circuit<br> Easy access to MEX, LDP, SKVE, ELITE highways<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br> For viewing or more information<br> pls contact:  013 3332 630 (Shamim)<br> pls contact:  013 3332 630 (Shamim)<br> pls contact:  013 3332 630 (Shamim)",Selangor,Cyberjaya,2025-02-24 11:47,2025-02-24,110250467,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1130 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Minimart, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed, Washing Machine","Jalan Singa F 20/F, Seksyen 20, Shah Alam, Selangor","For Rent - Suri Puteri Serviced Apartment, Seksyen 20 Shah Alam<br>              <br>Monthly rental: RM1,800<br>  <br>Details:<br>• Build up 1130 sqft <br>• Bedroom 3<br>• Bathroom 2<br>• Carpark lot 2<br>• Blok A - Low Floor<br><br>Furnished Provided:<br>• Built in full set kitchen cabinet with stove, hood and oven<br>• Fridge<br>• Washing machine<br>• Full set bedroom - queen size, wardrobes, dressing table, single bed<br>• Aircond 4 unit<br>• Water heater 2 unit<br><br>Deposit: 2+1+1/2 (utilities) + tenancy stamped<br><br>For further info & appointment, please call :<br><br>Muhammad Syafik<br>REN 64698<br>011-10705405<br>Great Casa Realty Sdn. Bhd.<br>http://www.wasap.my/601110705405<br><br>Zaimah Zamri <br>REN 64954<br>013-2521224<br>Great Casa Realty Sdn. Bhd.<br>http://www.wasap.my/60132521224",Selangor,Shah Alam,2025-02-24 11:47,2025-02-24,109383074,3.05117124664421,101.53918998147002
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Not Furnished,,,,Double Storey Taman Sri Bahagia House for Rent<br><br>- House facing open area<br>- 4 rooms 3 bathrooms<br>- Grill <br>- Lightning<br>- Fans<br><br>Kindly contact Mr. DK for viewing<br>☎️ HP: 0176631034 ( sms / call / whatsapp ),Selangor,Cheras,2025-02-24 11:47,2025-02-24,110128476,,
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,1200 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",,"2 Storey USJ 1 Subang Jaya<br><br>RENTAL PRICE : RM 2.5k<br><br>DETAILS <br>* 22x60<br>* BU : 1200<br>* 4beds 3baths<br>* Facing Open area (North)<br>* Extra parking<br>---<br>FULLY FURNISH include<br>- Sofa, tables, Fridge, Washermachine, Beds<br>- Kitchen Cabinet w countertop<br><br><br>●●●<br>Syed Shah<br>wa.me/60126702924",Selangor,Subang Jaya,2025-02-24 11:46,2025-02-24,110076619,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Playground, Lift, Parking, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed","Jalan Bendahara, Taman Saga, Klang, Selangor","Trifolia Apartment super value rent unit with 1200 with two airconds<br><br>WTL<br>Sentosa New Apartment<br>Trifolia Apartment Sentosa Kampung Jawa<br><br>PROPERTY DETAILS<br><br>Land Size = 900 sqft<br>Bedroom = 3<br>Bathroom = 2<br>️Parking = 1<br>️Furnished = 2airconds at master bedroom and second bedroom, ceiling fans, lights, house grill,<br>24 hours guarded<br><br>Rm1200 per month<br><br>Deposit = 2+0.5 utilities+1 advance<br><br>Accessibility:<br>_ Easy access via road to Jalan Sungai Jati, Shah Alam, Klang Town, Kota Kemuning, Subang Jaya, Port Klang, KESAS, Federal Highway, Jalan Raja Nong<br><br>May contact or Whatsapp June Chia<br>http://www.wasap.my/+60139997676, for further info or viewing appointment",Selangor,Klang,2025-02-24 11:45,2025-02-24,110250429,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",,"Opal Residence @ Puchong Intan for Rent !! !! !!<br><br>~ Partly Furnished<br>~ 1045sf<br>~ 3 rooms 3 bathrooms<br>~ 2 car parks<br><br>Asking Price: RM1600<br><br>If you interested, pls feel free to call or whatsapp<br>John 017-2525003",Selangor,Puchong,2025-02-24 11:44,2025-02-24,110104760,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,3,1045 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",,"Opal Residence @ Puchong Intan for Rent ‼<br><br>~ Fully Furnished<br>~ 1045sf<br>~ 3 rooms 3 bathrooms<br>~ 2 car parks<br><br>Asking Price: RM2200 (Nego)<br><br>If you interested, pls feel free to call or whatsapp<br>John - 017-2525003",Selangor,Puchong,2025-02-24 11:44,2025-02-24,110103981,,
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,4,1800 sq.ft.,Fully Furnished,"Parking, Playground, Minimart",,,"Near Setia Alam<br><br>Double Storey Intermediate Unit Alam Budiman, <br>Seksyen U10, Shah Alam<br><br>🌟 Easy access to Setia Alam<br>🌟 Nice unit<br><br>Available : March 2025<br>===============<br>RENTAL: RM2000 <br>===============<br>Properties details:<br>===============<br>✅ Double Storey | Intermediate Unit<br>✅ Leasehold | Bumi lot<br>✅ 4 Rooms & 4 Bathrooms: each room attach with toilet<br>✅ Store<br>✅ Fully Furnished :<br>Curtains, Television, TV Shelf, Fridge, Coffee table, Sofa, 2 Queen bed, 1 Single bed & 1 Sofa bed, 1 Water heater, Microwave, Standing Cooker, Gas stove & tong gas<br>✅ Kitchen Cabinet <br>✅ 4 units Aircond <br>✅ Ceiling fans & lights<br>✅ Grilled<br>✅ Auto gate<br><br>Amenities:<br>===========<br>- Surau & Multipurpose hall<br>- Shoplots<br>- SK Puncak Perdana<br>- SK & SMK Bukit Jelutong <br>- Setia Alam Township<br><br>Accessibility:<br>=============<br>-Easy access to Persiaran Moktar Dahari, Persiaran Setia Makmur<br>-DASH Highway <br>-Guthrie Highway<br>-NKVE Highway<br>-LATAR Highway<br><br>JUAL|:| BELI |:| SEWA|:| URUS<br>For further info & appointment, please call <br>Muhammad Syafik<br>REN 64698<br>011-10705405<br>Great Casa Realty Sdn. Bhd.<br>http://www.wasap.my/601110705405/<br><br>Zaimah Zamri <br>REN 64954<br>013-2521224<br>Great Casa Realty Sdn. Bhd.<br>http://www.wasap.my/60132521224/<br><br>#lela",Selangor,Shah Alam,2025-02-24 11:44,2025-02-24,110250423,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,1068 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Minimart, Barbeque area, Parking, Playground",,"Taman Puchong Prima, Puchong, Selangor",Desa Impiana  for rent<br><br>- 1068sf<br>- 3 rooms and 2 bathrooms<br>- Fully furnished<br>- Gated and guarded<br><br>Please contact Terence (016-4228366) for viewing,Selangor,Puchong,2025-02-24 11:43,2025-02-24,110250408,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,5,3,1500 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",,"Seri Kembangan, Taman Prima Tropika, 2 Storey Link, 20x75 sf, 5 Bedroom, 3 Bathroom, Partially Furnished, Gated / Guarded, Near MRT Station / Pasar Borong Puchong, Available Now, Rental: RM1700.00 Tel:013-709 3638  (Leong)",Selangor,Seri Kembangan,2025-02-24 11:43,2025-02-24,109711135,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Minimart, Barbeque area, Multipurpose hall, Club house, Jogging Track","Cooking Allowed, Near KTM/LRT","Jalan PJU 10/4, Damansara Damai, Damansara Damai, Selangor","Bayu Apartment For Rent URGENTLY !!<br>=======================<br><br>Unit Features :<br>============<br>- 3 Bedrooms & 2 Bathrooms<br>- With Grill<br>- Tiles Floor<br>- Very Nice & Clean Conditions<br>***<br><br><br>This Integrated Development Is Well<br>Served By Numerous Accesses :<br>=============================<br>- 5 Mins To Middle Ring Road 2 (MRR2)<br>- 10 Mins To Duta-Ulu Kelang Expressway (DUKE)<br>- 10 Mins To Lebuhraya Damansara Puchong (LDP)<br>- 5 Mins To North South Highway (NKVE)<br><br>Landmark Places Nearby :<br>=====================<br>- Econsave, Hero's Mart<br>- 99 Speedmart, 7 Eleven, Pharmacy, Food Court<br>- Petrol Station (Petronas & Shell)<br>- Bank (Maybank, Hong Leong, CIMB, OCBC)<br>- Mc'Donald, KFC, Pizza Hut, Dominos<br><br>* If looking for apartments for rent or sales also available!<br>- Harmoni Apartment<br>- Lestari Apartment<br>- Vista Apartment<br>- Permai Apartment<br>- Saujana Apartment<br>- and so on.<br><br>====================================<br>For more information or viewing, Please contact Mr. Ong @ 0143344366<br>*Owner are welcome to list*<br>====================================<br><br>************ PROPERTY WANTED ************",Selangor,Damansara Damai,2025-02-24 11:42,2025-02-24,110102095,3.1944030288575895,101.58643593039223
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1076 sq.ft.,Partially Furnished,"Multipurpose hall, Security, Swimming Pool, Gymnasium, Barbeque area, Parking, Lift, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan PJU 10/1, Damansara Damai, Damansara Damai, Selangor","*******************************************************************<br>viewing pls call 017-293 5367 / 012-834 2828<br>*******************************************************************<br>click here talk to me :- https://wa.link/bkx9af<br><br>* 3 Bedrooms , 2 Bathrooms, 2 carpark<br>* Beautiful POOL View<br>Facilities & Amenities:<br>===============<br>* 24-hour security<br>* Playground<br>* Swimming pool<br>* Gymnasium<br>* Right next SK Damansara Damai, SMK Damansara<br>Damai 1 and Balai Gemilang<br>* Near to Damansara Damai commercial area<br>* 24 hours Clinics<br>* Mcdonalds, KFC & Pizza hut<br><br>Tanpa buang masa korang, Marco perkenalkan, One Damansara @ Damai.<br><br>One Damansara @ Damai dibina dengan konsep reka bentuk kontemporari. yang menepati citarasa penduduk bandar masakini. Minat boleh wasap Marco 017-2935367 =)<br><br>*******************************************************************<br>viewing pls call 017-293 5367 / 012-834 2828<br>*******************************************************************<br>*owners welcome to list",Selangor,Damansara Damai,2025-02-24 11:42,2025-02-24,109477861,3.1973067443088015,101.5941408190094
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,550 sq.ft.,Fully Furnished,"Security, Minimart, Playground, Gymnasium, Jogging Track, Parking, Lift, Swimming Pool, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT","Off Persiaran Dato Menteri, Vista Alam, Seksyen 14, Shah Alam, Selangor","VISTA ALAM BIG STUDIO FOR RENT<br><br>RM1,500/month<br><br>-1 room<br>-1 bathroom<br>- 1 Private Parking<br>- Kitchen Cabinet<br>- Fully air conditioned<br><br>**********AMENITIES**********<br>- DEMC Specialist Hospital<br>- Aeon Mall Seksyen 13(5min Drive To)<br>- Shop Lot(Bank,Covenience Stores)<br>- Plaza Alam Sentral, UTC Shah Alam<br>- Pejabat Pos Besar, PKNS Shah Alam<br>- Bus Station Shah Alam<br>- Restaurants(Nasi Lemak Kedah Royale,Me'nate Steak Hub)<br>- Masjid Negeri Selangor(Shah Alam)<br>- And More...<br><br>**********EASY ACCESS**********<br>- Federal Highway<br>- Lebuhraya Kemuning-Shah Alam (LKSA)<br>- Lebuhraya Shah Alam (KESAS)<br>- New Klang Valley Expressway (NKVE)<br>- Elite Highway and Guthries Corridor Expressway (GCE<br><br>*FACILITIES*<br><br>Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV<br><br>For Appointment / Viewing<br>Contact via Whatsapp / SMS / Call<br><br>Mr. Ong- 014-3344366",Selangor,Shah Alam,2025-02-24 11:39,2025-02-24,109753204,,
"RM 1,000 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Not Furnished,,,,"Double-storey house for rent, 3 minutes to Lotus Supermarket.<br>Close to amenities: shops, schools, and markets.<br>RM 1,000 (negotiable).<br>2+1 ++<br><br>Call<br>012 2676080<br>016 2758329",Selangor,Rawang,2025-02-24 11:37,2025-02-24,110250306,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Parking, Playground","Cooking Allowed, Washing Machine","Jalan Cheras Prima 1, Taman Sutera, Kajang, Selangor","Lokasi yang baik untuk kerja, ada balkoni, kejiranan yang baik ",Selangor,Kajang,2025-02-24 11:37,2025-02-24,110250298,,
"RM 2,000 per month","Apartment / Condominium, For rent",Townhouse Condo,3,2,1003 sq.ft.,Partially Furnished,"Parking, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",,"**WTL**<br><br>🔰 Available for rent immediately 🔰<br><br>**Nova Anggerik Residence, Kajang**<br><br>\====================<br>**Asking Rental:** RM2000/month (Slightly Negotiable)<br>=====================================================<br><br>**Property Details:**<br><br>- 1003 sqft<br>- 3 bedrooms & 2 bathrooms<br>- Middle Floor, Corner Unit<br>- 2 Balconies & 1 Yard<br>- Private Garden (700 sqft)<br>- 2 Carpark (Back-to-Back)<br><br>**Furnished with:**<br><br>1. 2 Air-conditioners (Living Room & Master Bedroom)<br>2. Built-in Kitchen Cabinet with Stove & Gas Cylinder<br>3. 11kg Washing Machine<br>4. 270L Refrigerator<br>5. Water Heater in both bathrooms<br><br>**Nearby Areas:**<br>Suitable for those looking for easy access to:<br><br>- UKM, UPM, UNITEN, IUKL<br>- IOI City Mall<br>- MRT Stadium Kajang Station, Kajang 2 KTM Station<br>- Bandar Baru Bangi, Putra Heights, Bukit Lanchong<br>- Easy access to SILK, SKVE & PLUS Highways<br><br>**Facilities:**<br><br>- Gated & Guarded Community<br>- Gym, Playground & Jogging Track<br><br>**Tenant Preference:**<br><br>- Family preferred<br>- No pets allowed (per management policy)<br>- Long-term rental only<br><br>For more information and viewing session, kindly contact:<br>**📞 WhatsApp: 013-4111007**",Selangor,Kajang,2025-02-24 11:36,2025-02-24,110250270,,
"RM 2,100 per month","House, For rent",Terraced House,4,3,2400 sq.ft.,Partially Furnished,"Parking, Security","Near KTM/LRT, Cooking Allowed",,Alam Sari Ilmia <br>Partially Furnished <br><br>1 Queen Bed<br>3 single bed<br><br>0176695334<br>fitri,Selangor,Bangi,2025-02-24 11:35,2025-02-24,110250232,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,20 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track",,,Sila baca sampai habis :<br>1. Rumah akan dibersihkan sebelum anda menghuni<br>2. Rumah dekat dengan pekan tasik puteri (mcm mcm kedai ada)<br>3. Parking luas boleh muat 4 kereta kecil/2 kereta besar<br>4. Kebanyakan penduduk sekitar adalah melayu<br>5. Terdapat surau di dalam taman<br>6. Persekitaran rumah senyap dan sangat tenang<br>7. Nak tahu lebih lanjut boleh call/ws (kosong satu tiga lapan enam lima tujuh tiga enam sembilan),Selangor,Rawang,2025-02-24 11:35,2025-02-24,110250179,,
"RM 3,500 per month","Apartment / Condominium, For rent",Apartment,4,3,1442 sq.ft.,Partially Furnished,"Security, Swimming Pool, Lift, Parking, Gymnasium, Barbeque area, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Off Persiaran Bestari, Symphony Hills, Cyber 9, Cyberjaya, Selangor","PARTIALLY FURNISHED CONDO VERDI @ CYBERJAYA FOR RENT !!!<br><br>Details :-<br>Size : 1442 sqft<br>Room : 4<br>Bathroom : 3<br>No of parking : 2<br><br>ASKING RENTAL : RM3500<br><br>Deposit : 2+1+0.5+agreement (RM12,850)<br><br>Facilities :-<br>Gated & guarded<br>Club house<br>Swimming pool<br>Gymnasium<br><br>Whatsapp Hazwan (REN46336) : https://wa.link/y5h223",Selangor,Cyberjaya,2025-02-24 11:33,2025-02-24,109711119,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1200 sq.ft.,Partially Furnished,"Parking, Security, Playground","Cooking Allowed, Washing Machine",,"Rental Price : RM 1500<br>========================<br><br>DETAILS:<br>• Lamp and fan <br>• ⁠Refrigerator <br>• ⁠2 parking <br>• Land area : 20'x60' <br>• 4 Bedroom | 3 Bathroom<br><br>FACILITIES:<br>-Surau<br>-Playground<br><br>AMENITIES NEARBY:<br>-Schools<br>-Econsave, Eco-Shop, Tesco<br>-Fast Foods (Burger King, KFC,McDonald's, Dominos, etc)<br>-Petrol Pumps<br><br>CONNECTIVITY:<br>-LATAR Highway<br>-GUTHRIE Highway<br>-DASH Highway<br>-NKVE Highway<br><br>CONDITION TO MOVE IN :<br>Ready to move in <br><br>DEPOSIT :<br>2 month  advance (Rm 1500)+ 0.5 month utilities (Rm 300) + tenancy agreement (Rm 150)<br>Rm 3450<br><br>========================<br>Rental Price : RM 1500",Selangor,Klang,2025-02-24 11:33,2025-02-24,110250144,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,3,1082 sq.ft.,Fully Furnished,"Parking, Squash Court, Lift, Security, Minimart, Playground, Club house, Swimming Pool, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet","Jalan Bangi Avenue 6, Bangi Avenue, Kajang, Selangor",With balcony facing west<br>3 bedroom 3 bathroom (with heater)<br>House almost like new (mostly vacant)<br>Move-in condition<br><br>Fully furnished:<br>3 seater sofa<br>TV cabinet<br>2 queen beds<br>2 single beds<br>1 dining table (seat of 4)<br>Refrigerator<br>Build-in wardrobe (all bedrooms)<br>Air-conditioned (all bedrooms)<br><br>Ready for May 2025 (after Raya 2025)<br>2 months deposit (RM2600) + half month utilities deposit (RM650),Selangor,Kajang,2025-02-24 11:32,2025-02-24,110250107,2.898835754605394,101.79260608154989
